title,titleVF,youtube_url,category_id
Cuphead,Don't Deal With the Devil,https://www.youtube.com/watch?v=D6KXf-kXKIA,games
Cyberpunk 2077,The Rebel Path,https://www.youtube.com/watch?v=EegPbRtmzXY,games
Dark Souls 3,Main Theme,https://www.youtube.com/watch?v=ch6I15iBliE,games
Darkest Dungeon,Combat Music,https://www.youtube.com/watch?v=JYFU_RiefKk,games
Dave the Diver,Seals and Dolphins,https://www.youtube.com/watch?v=W8t6_RkvWjk,games
Dead by Daylight,Dead by Daylight Theme,https://www.youtube.com/watch?v=qKIsjbb8c7o,games
Dead Cells,Title,https://www.youtube.com/watch?v=caM1MxmV3Ps,games
Dead Island 2,Stay Alive,https://www.youtube.com/watch?v=xAI0lI4FE1o,games
Dead Rising 3,Please Remember My Name,https://www.youtube.com/watch?v=2s4_fMLqNkE,games
Detroit Become Human,Kara Main Theme,https://www.youtube.com/watch?v=VKQOjBOhdCM,games
Deus Ex: Human Revolution,Main Theme,https://www.youtube.com/watch?v=FUy87tpfNe4,games
Devil May Cry 3,Devils Never Cry,https://www.youtube.com/watch?v=xti_6Bzpa8A,games
Diablo 2,Tristram,https://www.youtube.com/watch?v=XheJnmLAwhk,games
Diner Dash,Main Theme,https://www.youtube.com/watch?v=K9VcT_q51xQ,games
Dispatch,Andrew Arcadi - Webs.,https://www.youtube.com/watch?v=F2RWQwpoU2w,games
Dofus,Incarnam 2.0,https://www.youtube.com/watch?v=FahJVvisMRY,games
Doki Doki Litterature Club,Main Theme,https://www.youtube.com/watch?v=BFSWlDpA6C4,games
Donkey Kong Country,Theme,https://www.youtube.com/watch?v=7XBJGVvYSBM,games
Donkey Kong Country Returns,Title Theme,https://www.youtube.com/watch?v=r5LSvHEduGE,games
Doom Eternal,The Only Thing They Fear Is You,https://www.youtube.com/watch?v=kpnW68Q8ltc,games
Draglade,Theme Song,https://www.youtube.com/watch?v=6eArgRKj7dI,games
Dragon Ball Xenoverse 2,Title Theme,https://www.youtube.com/watch?v=_VYGWOyXsIU,games
Dragon Ball Z Budokai 3,Intro Song,https://www.youtube.com/watch?v=4_-eEf91hwo,games
Dragon Ball Z Budokai Tenkaichi 3,Intro Song,https://www.youtube.com/watch?v=55KGua5iW0E,games
Dragon Quest 11,Main Theme,https://www.youtube.com/watch?v=waH3uNlwMo4,games
